               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.032917,            0.020769,            0.014998,             0.67247,             0.44794,             0.54057,             0.34716,            0.026754,            0.010505,           0.0078743,            2.24e-05,            2.24e-05,            0.049672
                   1,            0.033858,            0.019747,            0.014935,             0.71424,              0.4316,             0.54133,             0.34658,            0.026689,            0.010491,           0.0078808,          4.7999e-05,          4.7999e-05,            0.049298
                   2,            0.033626,            0.019034,            0.016031,             0.70365,             0.44393,             0.53726,              0.3466,            0.026735,            0.010493,           0.0079153,          7.3593e-05,          7.3593e-05,            0.048924
                   3,            0.032412,            0.018761,            0.014927,             0.70809,             0.44017,             0.53922,             0.34503,            0.026719,              0.0105,           0.0079125,          9.9178e-05,          9.9178e-05,            0.048549
                   4,            0.032341,            0.017232,            0.013846,             0.72702,             0.42996,             0.53741,             0.34387,            0.026707,            0.010515,           0.0078987,          0.00012475,          0.00012475,            0.048175
                   5,            0.033179,            0.018144,            0.014691,             0.71647,             0.44013,             0.53764,             0.33752,            0.026676,            0.010503,           0.0078651,          0.00015031,          0.00015031,              0.0478
                   6,            0.032074,            0.019169,            0.013564,             0.70186,             0.43199,              0.5348,             0.33827,             0.02667,            0.010501,           0.0078207,          0.00017585,          0.00017585,            0.047426
                   7,            0.032939,            0.018326,            0.014328,             0.70582,             0.42958,             0.53722,             0.34526,            0.026629,            0.010494,           0.0077829,          0.00020136,          0.00020136,            0.047051
                   8,            0.032415,            0.017202,            0.014731,             0.70335,             0.42787,             0.53271,             0.34272,            0.026627,            0.010497,           0.0077761,          0.00022685,          0.00022685,            0.046677
                   9,            0.034072,            0.020282,            0.014818,              0.7078,             0.42502,             0.53521,             0.34422,            0.026607,            0.010482,           0.0077558,          0.00025231,          0.00025231,            0.046302
                  10,            0.033552,             0.01924,            0.013818,             0.69028,              0.4399,             0.53675,             0.34654,             0.02657,            0.010445,           0.0076801,          0.00027773,          0.00027773,            0.045928
                  11,             0.03352,            0.019304,            0.014831,             0.69276,             0.44009,             0.53792,             0.34676,            0.026562,            0.010436,           0.0076648,          0.00030311,          0.00030311,            0.045553
                  12,            0.030713,            0.017264,            0.012962,             0.69287,             0.44314,             0.53748,             0.34901,            0.026477,            0.010394,           0.0075831,          0.00032846,          0.00032846,            0.045178
                  13,            0.033371,            0.017626,            0.014485,             0.70907,             0.44395,             0.54542,             0.35482,            0.026429,             0.01036,            0.007509,          0.00035375,          0.00035375,            0.044804
                  14,            0.032629,            0.019758,            0.013901,             0.71623,             0.44839,             0.55175,             0.35992,            0.026423,            0.010324,           0.0074621,            0.000379,            0.000379,            0.044429
                  15,            0.031497,            0.016115,            0.012779,             0.69824,             0.45004,             0.54683,             0.35591,             0.02631,            0.010305,           0.0073458,           0.0004042,           0.0004042,            0.044054
                  16,            0.033092,             0.01753,            0.015062,             0.70649,             0.45428,              0.5482,             0.35695,             0.02624,            0.010263,           0.0072692,          0.00042934,          0.00042934,            0.043679
                  17,            0.032683,            0.019069,            0.013937,             0.71942,             0.45537,             0.55248,             0.35876,            0.026198,            0.010214,           0.0071926,          0.00045442,          0.00045442,            0.043304
                  18,            0.032602,            0.017541,            0.013352,             0.75025,              0.4453,               0.554,             0.35941,            0.026168,            0.010191,             0.00716,          0.00047943,          0.00047943,            0.042929
                  19,            0.032591,            0.018702,            0.013378,             0.74949,              0.4437,             0.55838,             0.36365,            0.026131,            0.010164,           0.0071027,          0.00050438,          0.00050438,            0.042554
                  20,            0.030727,            0.017696,            0.012275,             0.71969,             0.45826,              0.5626,             0.36707,             0.02603,            0.010123,           0.0069948,          0.00052926,          0.00052926,            0.042179
                  21,            0.032348,            0.018392,            0.013274,             0.73185,             0.45421,             0.56152,             0.37073,            0.025946,            0.010091,           0.0068917,          0.00055407,          0.00055407,            0.041804
                  22,              0.0327,            0.019963,            0.013634,             0.74328,             0.46075,             0.56978,             0.37168,            0.025884,            0.010045,           0.0068374,          0.00057879,          0.00057879,            0.041429
                  23,            0.031981,            0.020445,            0.013672,             0.74388,             0.45624,             0.56899,             0.37134,            0.025836,            0.010021,           0.0067981,          0.00060344,          0.00060344,            0.041053
                  24,            0.033724,            0.017821,            0.014229,             0.75207,             0.46257,             0.57337,             0.37229,            0.025806,           0.0099942,           0.0067541,            0.000628,            0.000628,            0.040678
                  25,            0.031124,            0.018248,            0.012968,              0.7643,             0.45737,             0.56969,             0.36966,            0.025769,           0.0099611,           0.0067171,          0.00065247,          0.00065247,            0.040302
                  26,            0.031043,            0.018208,             0.01283,             0.72911,             0.46036,             0.56919,             0.37268,            0.025724,           0.0099425,           0.0066326,          0.00067685,          0.00067685,            0.039927
                  27,            0.032176,            0.018541,            0.013764,             0.72625,             0.46787,             0.57505,             0.37599,            0.025681,           0.0099183,           0.0065497,          0.00070113,          0.00070113,            0.039551
                  28,            0.031558,            0.017954,            0.013679,             0.72007,             0.46162,             0.57302,             0.37895,            0.025655,           0.0099008,           0.0064463,          0.00072532,          0.00072532,            0.039175
                  29,            0.031599,            0.017321,              0.0133,             0.78386,             0.45001,             0.57297,              0.3789,            0.025628,           0.0098733,           0.0064355,           0.0007494,           0.0007494,            0.038799
                  30,            0.031014,            0.017023,            0.012946,             0.78116,             0.45406,             0.57463,             0.37911,            0.025546,            0.009824,           0.0063487,          0.00077338,          0.00077338,            0.038423
                  31,            0.031632,              0.0192,            0.012362,             0.76683,              0.4517,             0.57549,             0.38239,             0.02552,           0.0098035,           0.0063191,          0.00079725,          0.00079725,            0.038047
                  32,            0.030363,            0.016053,            0.013154,             0.76048,             0.45725,             0.58127,             0.38291,            0.025501,           0.0098021,           0.0062493,            0.000821,            0.000821,            0.037671
                  33,             0.03078,            0.018724,            0.011615,             0.72712,             0.47773,             0.58468,             0.38672,            0.025442,           0.0097654,           0.0061875,          0.00084464,          0.00084464,            0.037295
                  34,            0.032174,             0.01751,            0.014059,             0.59231,              0.5331,             0.58854,             0.38711,             0.02539,           0.0097205,           0.0060855,          0.00086816,          0.00086816,            0.036918
                  35,            0.032112,            0.017228,            0.012858,             0.63803,             0.52004,             0.59152,              0.3947,            0.025376,           0.0096825,           0.0060251,          0.00089156,          0.00089156,            0.036542
                  36,            0.030915,            0.016772,            0.012611,             0.72927,             0.46856,             0.58467,             0.39026,            0.025406,           0.0096911,            0.006022,          0.00091483,          0.00091483,            0.036165
                  37,            0.030986,            0.017104,            0.011731,             0.76693,             0.46499,             0.58659,             0.38629,            0.025398,           0.0096778,           0.0059994,          0.00093797,          0.00093797,            0.035788
                  38,            0.031067,            0.017378,             0.01225,              0.7386,              0.4814,             0.58907,             0.38504,            0.025339,           0.0096521,           0.0059493,          0.00096098,          0.00096098,            0.035411
                  39,            0.030304,             0.01663,            0.012366,             0.72021,             0.48798,             0.59025,             0.39051,            0.025258,           0.0096236,           0.0058833,          0.00098386,          0.00098386,            0.035034
                  40,            0.031224,            0.019496,            0.012132,             0.57192,             0.56917,             0.59577,              0.3976,            0.025171,           0.0095904,           0.0058043,           0.0010066,           0.0010066,            0.034657
                  41,            0.032582,            0.017945,            0.012577,             0.73051,             0.49325,             0.60224,             0.40262,            0.025079,           0.0095536,           0.0057558,           0.0010292,           0.0010292,            0.034279
                  42,            0.030053,            0.018139,             0.01131,             0.76094,             0.48732,             0.60919,             0.40662,            0.024952,           0.0095275,           0.0056995,           0.0010516,           0.0010516,            0.033902
                  43,            0.030406,            0.016384,            0.012015,             0.72847,             0.50033,             0.60853,             0.40648,            0.024926,           0.0095238,           0.0056893,           0.0010739,           0.0010739,            0.033524
                  44,            0.030946,            0.017848,            0.011097,             0.72454,             0.51968,             0.60925,             0.40641,            0.024887,           0.0094906,           0.0056519,           0.0010961,           0.0010961,            0.033146
                  45,            0.032511,            0.017145,            0.013021,             0.73528,             0.50371,             0.60991,             0.40674,            0.024867,           0.0094539,           0.0056076,           0.0011181,           0.0011181,            0.032768
                  46,            0.031576,            0.016398,            0.011261,              0.7684,             0.50217,              0.6162,             0.41317,            0.024827,           0.0094392,           0.0055859,           0.0011399,           0.0011399,             0.03239
                  47,            0.031121,            0.017615,            0.011854,             0.72191,             0.52684,             0.61491,             0.41243,            0.024765,           0.0094188,           0.0054651,           0.0011616,           0.0011616,            0.032012
                  48,            0.031655,            0.018515,            0.012011,             0.70388,             0.53102,             0.62113,             0.41665,            0.024714,           0.0093907,           0.0053769,           0.0011831,           0.0011831,            0.031633
                  49,            0.032072,            0.019612,            0.012392,             0.74963,             0.50608,              0.6217,              0.4145,              0.0247,           0.0093683,           0.0053624,           0.0012044,           0.0012044,            0.031254
                  50,            0.030242,            0.016758,            0.011279,               0.694,             0.54067,             0.62279,             0.41854,            0.024605,           0.0093382,           0.0053176,           0.0012256,           0.0012256,            0.030876
                  51,            0.029722,            0.016569,            0.012552,             0.69871,             0.52781,             0.62076,             0.41546,            0.024557,           0.0093153,           0.0052787,           0.0012466,           0.0012466,            0.030497
                  52,            0.031371,            0.017265,            0.012594,             0.65173,             0.56294,             0.62146,             0.41355,            0.024532,           0.0092888,           0.0052359,           0.0012675,           0.0012675,            0.030117
                  53,            0.031161,            0.017227,             0.01206,             0.62678,             0.57958,             0.62667,             0.41726,            0.024506,           0.0092781,           0.0051939,           0.0012881,           0.0012881,            0.029738
                  54,            0.031227,            0.018904,            0.013117,             0.63913,             0.56305,             0.62982,             0.41961,            0.024484,           0.0092716,           0.0051612,           0.0013086,           0.0013086,            0.029359
                  55,            0.030809,            0.016904,            0.011572,             0.72535,             0.52865,             0.62656,             0.41737,            0.024523,           0.0092624,           0.0051177,           0.0013289,           0.0013289,            0.028979
                  56,            0.031383,            0.018019,            0.012627,              0.7379,             0.53016,              0.6316,             0.42068,            0.024415,           0.0092385,            0.005053,            0.001349,            0.001349,            0.028599
                  57,            0.030405,            0.015509,            0.011535,             0.75818,              0.5209,             0.62602,             0.41754,            0.024434,           0.0092385,            0.005066,           0.0013689,           0.0013689,            0.028219
                  58,            0.029844,            0.017416,             0.01067,               0.743,             0.52963,             0.63294,             0.42142,            0.024373,           0.0091864,             0.00498,           0.0013886,           0.0013886,            0.027839
                  59,            0.032516,            0.017707,            0.011914,             0.74049,             0.53291,             0.63725,             0.42807,             0.02422,           0.0091494,           0.0049398,           0.0014081,           0.0014081,            0.027458
                  60,            0.030057,            0.018396,            0.010906,             0.72979,             0.53378,             0.63421,             0.42647,            0.024186,           0.0091316,           0.0048921,           0.0014274,           0.0014274,            0.027077
                  61,             0.03114,            0.019126,            0.011679,             0.72276,             0.53666,             0.63422,             0.42791,            0.024138,           0.0091196,            0.004846,           0.0014466,           0.0014466,            0.026697
                  62,            0.030749,            0.017448,            0.011131,             0.72546,             0.54178,             0.63834,             0.43022,            0.024083,           0.0090976,             0.00479,           0.0014655,           0.0014655,            0.026315
                  63,            0.030868,            0.017422,            0.012021,             0.63978,             0.59136,             0.64031,             0.43159,            0.024102,           0.0090721,           0.0047888,           0.0014842,           0.0014842,            0.025934
                  64,            0.030793,             0.01645,            0.011383,             0.65661,             0.59398,             0.65079,             0.43416,             0.02404,           0.0090497,           0.0047547,           0.0015027,           0.0015027,            0.025553
                  65,            0.030953,            0.016743,            0.012239,             0.69581,             0.56089,             0.64922,             0.43272,            0.024017,           0.0090546,           0.0047359,            0.001521,            0.001521,            0.025171
                  66,            0.029327,            0.016555,           0.0092371,             0.69746,             0.55775,             0.64656,             0.43783,            0.024043,           0.0090317,           0.0046878,           0.0015391,           0.0015391,            0.024789
                  67,            0.030037,            0.017026,            0.010543,             0.72554,             0.55659,             0.65323,             0.43969,            0.023976,           0.0090099,           0.0046245,            0.001557,            0.001557,            0.024407
                  68,            0.031317,            0.016623,            0.011606,             0.73771,             0.55403,             0.65018,             0.44126,            0.023918,           0.0090102,           0.0046061,           0.0015747,           0.0015747,            0.024025
                  69,            0.030826,            0.017265,            0.011804,             0.73143,             0.56277,             0.65714,             0.44428,            0.023813,           0.0089878,           0.0045317,           0.0015921,           0.0015921,            0.023642
                  70,            0.031019,            0.018584,            0.011878,             0.76528,             0.54864,             0.65701,             0.44262,            0.023882,           0.0089727,           0.0044895,           0.0016093,           0.0016093,            0.023259
                  71,            0.031036,            0.018318,            0.011568,             0.75219,             0.55568,             0.66491,              0.4518,            0.023798,            0.008925,           0.0043907,           0.0016263,           0.0016263,            0.022876
                  72,            0.031574,            0.017144,            0.012109,             0.75231,               0.571,             0.67238,             0.45523,            0.023659,            0.008892,           0.0043374,           0.0016431,           0.0016431,            0.022493
                  73,            0.031394,            0.016556,            0.011021,             0.70875,              0.5868,             0.67081,               0.453,            0.023606,           0.0088843,           0.0043192,           0.0016597,           0.0016597,             0.02211
                  74,            0.030206,            0.016793,            0.011061,             0.68346,             0.60082,             0.67306,             0.45519,            0.023577,           0.0088639,           0.0042728,            0.001676,            0.001676,            0.021726
                  75,            0.030708,            0.017431,            0.011228,             0.78172,             0.55956,             0.67784,             0.45016,            0.023591,           0.0088176,           0.0042397,           0.0016921,           0.0016921,            0.021342
                  76,             0.03014,            0.016763,             0.01042,             0.73428,              0.5864,             0.68278,              0.4544,            0.023601,           0.0087797,           0.0042184,           0.0017079,           0.0017079,            0.020958
                  77,            0.030334,             0.01611,            0.011086,               0.763,             0.56616,             0.67415,             0.45545,            0.023605,           0.0088087,           0.0041659,           0.0017236,           0.0017236,            0.020574
                  78,            0.031602,            0.017077,            0.012044,             0.75366,             0.56935,             0.67817,             0.45491,            0.023505,           0.0087952,            0.004124,           0.0017389,           0.0017389,            0.020189
                  79,            0.030195,            0.016999,            0.010421,             0.66951,             0.62855,             0.68365,             0.46173,            0.023415,           0.0087743,           0.0040531,           0.0017541,           0.0017541,            0.019804
                  80,            0.030901,            0.018006,            0.010924,             0.74507,              0.5773,             0.68206,             0.46312,            0.023364,           0.0087577,           0.0040575,            0.001769,            0.001769,            0.019419
                  81,            0.029351,             0.01559,            0.010263,             0.73885,             0.58964,             0.67821,             0.46138,            0.023318,           0.0087468,           0.0040252,           0.0017836,           0.0017836,            0.019034
                  82,            0.029637,             0.01752,            0.010402,             0.73928,             0.59701,             0.68463,             0.46665,             0.02331,           0.0086974,           0.0039933,           0.0017981,           0.0017981,            0.018648
                  83,            0.030622,            0.018225,            0.010804,              0.7451,             0.60017,              0.6886,             0.46624,            0.023263,           0.0086646,           0.0039824,           0.0018122,           0.0018122,            0.018262
                  84,            0.029118,            0.016264,            0.009187,             0.68476,             0.65203,             0.69101,              0.4698,             0.02321,           0.0086439,           0.0039278,           0.0018262,           0.0018262,            0.017876
                  85,            0.030453,            0.018445,            0.011659,             0.71246,             0.65627,             0.69767,             0.47155,            0.023158,            0.008585,           0.0038522,           0.0018398,           0.0018398,             0.01749
                  86,            0.031249,             0.01621,            0.011306,             0.74338,             0.63848,              0.7076,             0.47744,            0.023146,             0.00856,           0.0038124,           0.0018533,           0.0018533,            0.017103
                  87,            0.029791,            0.016697,           0.0099407,             0.73781,             0.63927,             0.70831,             0.47258,            0.023151,           0.0085446,           0.0037715,           0.0018664,           0.0018664,            0.016716
                  88,            0.029248,            0.017603,           0.0099813,             0.70014,             0.65516,             0.70992,             0.47702,            0.023105,           0.0085282,           0.0037481,           0.0018794,           0.0018794,            0.016329
                  89,            0.030576,            0.017592,            0.011051,             0.66377,             0.67439,             0.71262,             0.47579,            0.023159,           0.0085205,            0.003748,            0.001892,            0.001892,            0.015942
                  90,            0.028867,            0.017323,            0.010395,             0.65269,             0.66158,             0.70104,             0.47666,            0.023126,           0.0085331,           0.0037636,           0.0019045,           0.0019045,            0.015554
                  91,            0.029928,            0.015581,            0.010212,             0.64291,             0.68381,             0.71197,             0.47875,             0.02312,            0.008501,           0.0037359,           0.0019166,           0.0019166,            0.015167
                  92,            0.030551,            0.017113,            0.010966,             0.65227,             0.67368,             0.71059,             0.47981,            0.023074,           0.0084734,           0.0037332,           0.0019285,           0.0019285,            0.014779
                  93,            0.029661,            0.017063,            0.010282,             0.64974,             0.68213,             0.70558,             0.48184,            0.023021,           0.0084388,           0.0037078,           0.0019401,           0.0019401,             0.01439
                  94,            0.029692,            0.017174,           0.0094893,             0.72625,             0.64368,             0.71556,             0.48683,            0.022933,            0.008397,           0.0036614,           0.0019515,           0.0019515,            0.014002
                  95,            0.028104,            0.015492,           0.0085925,             0.76596,              0.6351,             0.71884,             0.48989,            0.022997,           0.0083819,           0.0036266,           0.0019626,           0.0019626,            0.013613
                  96,            0.030961,             0.01624,             0.01152,             0.70357,             0.67877,             0.71986,             0.49022,            0.022925,           0.0083443,           0.0035896,           0.0019735,           0.0019735,            0.013223
                  97,            0.029446,            0.016399,           0.0092881,             0.73932,             0.66267,             0.72071,              0.4905,            0.022868,           0.0083285,           0.0035364,           0.0019841,           0.0019841,            0.012834
