               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.053813,             0.01886,             0.01403,             0.27084,             0.30443,             0.19615,            0.061111,            0.050904,             0.01018,           0.0073641,            2.24e-05,            2.24e-05,            0.049672
                   1,            0.052775,            0.018478,            0.014321,              0.2799,             0.32966,             0.21717,            0.067816,            0.049656,            0.010194,           0.0073421,          4.7999e-05,          4.7999e-05,            0.049298
                   2,             0.05134,            0.018221,            0.014765,             0.36459,             0.34368,             0.28318,            0.076586,            0.048085,            0.010249,           0.0073477,          7.3593e-05,          7.3593e-05,            0.048924
                   3,             0.04921,            0.017164,            0.014583,             0.43419,             0.38913,             0.34355,             0.10264,            0.046093,            0.010298,           0.0073341,          9.9178e-05,          9.9178e-05,            0.048549
                   4,            0.047145,            0.016711,            0.014054,             0.44608,             0.40093,             0.36391,             0.13545,            0.043894,            0.010355,           0.0073658,          0.00012475,          0.00012475,            0.048175
                   5,            0.046287,            0.017688,            0.014963,             0.44853,             0.40498,             0.36199,             0.16759,            0.041595,            0.010402,           0.0073958,          0.00015031,          0.00015031,              0.0478
                   6,            0.043121,            0.017659,            0.014332,             0.44313,             0.42307,             0.37891,             0.18704,            0.039437,            0.010454,           0.0073763,          0.00017585,          0.00017585,            0.047426
                   7,            0.041587,            0.017637,            0.013987,             0.44237,             0.42457,             0.38401,             0.19743,            0.037865,            0.010488,           0.0073615,          0.00020136,          0.00020136,            0.047051
                   8,            0.040203,            0.016042,            0.013451,             0.44748,             0.43029,             0.39917,             0.20953,            0.036562,            0.010506,            0.007339,          0.00022685,          0.00022685,            0.046677
                   9,            0.039355,            0.020129,            0.012999,             0.46938,             0.43557,             0.42172,             0.22316,            0.035236,              0.0105,           0.0073309,          0.00025231,          0.00025231,            0.046302
                  10,            0.038424,             0.01716,            0.013655,             0.47937,             0.43277,             0.43801,             0.23719,            0.033896,            0.010499,           0.0072618,          0.00027773,          0.00027773,            0.045928
                  11,            0.038177,            0.018785,            0.014098,             0.50192,             0.43115,             0.45594,             0.24282,            0.032763,            0.010502,           0.0072597,          0.00030311,          0.00030311,            0.045553
                  12,            0.035991,            0.016399,            0.012207,              0.5277,             0.43318,             0.47789,              0.2613,            0.031421,            0.010476,           0.0071613,          0.00032846,          0.00032846,            0.045178
                  13,            0.035678,            0.018136,            0.013761,              0.5536,             0.42841,             0.49547,             0.27751,            0.030258,            0.010448,           0.0071186,          0.00035375,          0.00035375,            0.044804
