               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05205,            0.019009,            0.014002,             0.23588,             0.41288,             0.18779,            0.098169,            0.048396,            0.013542,           0.0063809,            2.24e-05,            2.24e-05,            0.049672
                   1,            0.051248,            0.018322,            0.014146,             0.24939,             0.39358,             0.20367,             0.10271,            0.047316,            0.012938,           0.0063694,          4.7999e-05,          4.7999e-05,            0.049298
                   2,            0.050122,             0.01728,            0.015002,             0.25916,             0.39952,             0.21355,             0.10357,            0.046392,            0.012523,           0.0063635,          7.3593e-05,          7.3593e-05,            0.048924
                   3,            0.049856,            0.018596,            0.013756,             0.26807,             0.41316,             0.23105,             0.11439,             0.04526,            0.012201,           0.0063539,          9.9178e-05,          9.9178e-05,            0.048549
                   4,            0.048433,            0.016605,            0.013725,             0.28866,             0.39549,             0.24016,             0.11906,            0.043899,            0.011944,           0.0063716,          0.00012475,          0.00012475,            0.048175
                   5,            0.047124,            0.018796,            0.013698,             0.29815,             0.40538,             0.25071,             0.13163,            0.042432,            0.011709,           0.0063867,          0.00015031,          0.00015031,              0.0478
                   6,            0.045419,            0.018536,            0.014173,             0.31398,             0.43266,             0.28328,             0.14523,            0.041054,            0.011456,           0.0063957,          0.00017585,          0.00017585,            0.047426
                   7,            0.043841,            0.018062,            0.013951,             0.32156,             0.44004,             0.29548,             0.15836,            0.039658,            0.011293,           0.0063963,          0.00020136,          0.00020136,            0.047051
                   8,            0.043058,            0.016872,            0.012456,             0.36545,             0.39258,             0.31865,             0.16684,            0.038476,            0.011172,           0.0064016,          0.00022685,          0.00022685,            0.046677
                   9,            0.042473,            0.018477,            0.013836,             0.37409,             0.41331,             0.33177,             0.17155,            0.037412,            0.010971,            0.006364,          0.00025231,          0.00025231,            0.046302
                  10,            0.041854,            0.017497,            0.013205,             0.40779,             0.41827,             0.34954,             0.18091,            0.036327,            0.010836,           0.0063208,          0.00027773,          0.00027773,            0.045928
                  11,            0.040667,             0.01699,            0.013045,             0.42442,             0.41204,             0.36911,             0.18803,            0.035265,            0.010759,           0.0063251,          0.00030311,          0.00030311,            0.045553
                  12,            0.038472,            0.016845,            0.011417,              0.4641,             0.42206,             0.38431,             0.20717,            0.034108,             0.01067,           0.0062714,          0.00032846,          0.00032846,            0.045178
                  13,            0.038887,            0.016551,            0.013494,              0.4924,             0.43024,             0.41536,             0.22794,            0.033087,            0.010564,           0.0062402,          0.00035375,          0.00035375,            0.044804
                  14,            0.038273,            0.018925,            0.013441,             0.49068,             0.42713,             0.41777,             0.24481,            0.031981,            0.010458,           0.0061867,            0.000379,            0.000379,            0.044429
                  15,            0.035621,            0.016055,            0.011979,             0.43291,             0.47375,             0.42657,              0.2561,            0.031036,            0.010372,           0.0061508,           0.0004042,           0.0004042,            0.044054
                  16,            0.036621,            0.017864,            0.012639,             0.49717,             0.42703,              0.4289,             0.25557,            0.030475,            0.010259,           0.0061182,          0.00042934,          0.00042934,            0.043679
                  17,            0.036454,            0.017921,            0.013076,             0.47661,             0.44398,             0.42985,             0.25303,              0.0301,            0.010166,           0.0060502,          0.00045442,          0.00045442,            0.043304
                  18,            0.035555,             0.01733,            0.012911,             0.51713,             0.42767,             0.43775,             0.25867,            0.029771,            0.010075,           0.0059733,          0.00047943,          0.00047943,            0.042929
                  19,            0.034125,            0.016656,            0.012803,             0.49701,             0.44181,             0.44413,             0.26458,            0.029444,           0.0099844,           0.0059142,          0.00050438,          0.00050438,            0.042554
                  20,            0.034775,            0.016321,            0.012271,             0.52331,             0.43117,             0.44243,             0.26687,            0.029166,           0.0099269,           0.0058775,          0.00052926,          0.00052926,            0.042179
                  21,            0.034788,             0.01751,            0.012528,             0.50587,             0.44365,             0.44883,             0.27324,            0.028878,           0.0098874,           0.0058375,          0.00055407,          0.00055407,            0.041804
                  22,            0.033783,            0.017303,            0.012684,             0.52066,             0.43914,             0.45547,             0.28022,            0.028589,            0.009818,           0.0057925,          0.00057879,          0.00057879,            0.041429
                  23,            0.034026,            0.016751,            0.013126,              0.5362,             0.44181,             0.45725,             0.28431,            0.028405,           0.0097654,            0.005732,          0.00060344,          0.00060344,            0.041053
                  24,            0.034135,            0.016782,            0.012701,             0.50944,             0.45388,             0.46493,             0.28594,             0.02808,           0.0097063,           0.0056671,            0.000628,            0.000628,            0.040678
                  25,            0.034271,            0.017033,            0.012253,             0.50787,             0.46104,             0.46901,             0.29317,            0.027871,           0.0096453,           0.0056388,          0.00065247,          0.00065247,            0.040302
                  26,             0.03304,            0.016162,            0.012021,             0.50872,             0.45329,             0.47458,              0.2953,            0.027578,           0.0095856,            0.005601,          0.00067685,          0.00067685,            0.039927
                  27,            0.032874,            0.015744,            0.012639,             0.50832,             0.45394,             0.48309,             0.30014,             0.02739,            0.009536,            0.005545,          0.00070113,          0.00070113,            0.039551
                  28,            0.033156,            0.016759,            0.012804,             0.53464,             0.44758,             0.48423,             0.30143,            0.027094,           0.0094819,           0.0055046,          0.00072532,          0.00072532,            0.039175
                  29,            0.031909,            0.016458,            0.012064,             0.54843,             0.44595,             0.48819,             0.30351,            0.026788,           0.0094203,           0.0054698,           0.0007494,           0.0007494,            0.038799
                  30,            0.032684,            0.017133,            0.011631,             0.56124,             0.44841,             0.49735,             0.31167,            0.026552,           0.0093814,           0.0054266,          0.00077338,          0.00077338,            0.038423
                  31,            0.032298,            0.015582,             0.01195,             0.56909,             0.45428,             0.50455,             0.31566,            0.026284,            0.009344,           0.0053993,          0.00079725,          0.00079725,            0.038047
                  32,            0.031177,            0.016612,            0.011672,             0.54708,             0.45844,               0.511,             0.31738,            0.026078,           0.0092998,           0.0053496,            0.000821,            0.000821,            0.037671
                  33,            0.032237,             0.01556,            0.012022,             0.54799,             0.46017,             0.51489,             0.32151,            0.025907,           0.0092568,           0.0052941,          0.00084464,          0.00084464,            0.037295
                  34,            0.032301,             0.01661,            0.012224,             0.52608,             0.47548,             0.51982,             0.32501,            0.025663,           0.0092112,           0.0052545,          0.00086816,          0.00086816,            0.036918
                  35,            0.032023,            0.016407,            0.011408,             0.59128,              0.4543,              0.5228,             0.33101,            0.025394,           0.0091574,           0.0051994,          0.00089156,          0.00089156,            0.036542
                  36,             0.03022,            0.016068,            0.011269,             0.41576,             0.59266,             0.53294,             0.33616,            0.025247,           0.0091229,           0.0051905,          0.00091483,          0.00091483,            0.036165
                  37,            0.030791,            0.014618,            0.011245,             0.41563,             0.61372,             0.53925,             0.34042,            0.025128,           0.0090925,           0.0051721,          0.00093797,          0.00093797,            0.035788
                  38,            0.031072,            0.016598,            0.012788,             0.42359,             0.59931,             0.54417,             0.34515,            0.024938,           0.0090518,           0.0051221,          0.00096098,          0.00096098,            0.035411
                  39,            0.029729,            0.016012,            0.010918,             0.45442,             0.58266,             0.55678,               0.347,             0.02481,           0.0090154,           0.0050676,          0.00098386,          0.00098386,            0.035034
                  40,            0.030151,            0.016709,             0.01159,             0.44385,             0.59842,              0.5561,             0.34925,              0.0246,           0.0089948,           0.0050105,           0.0010066,           0.0010066,            0.034657
                  41,             0.03178,            0.016407,            0.012275,             0.46628,              0.5952,             0.55758,               0.347,            0.024466,           0.0089654,           0.0049668,           0.0010292,           0.0010292,            0.034279
                  42,            0.029926,             0.01641,            0.011152,             0.46714,             0.59691,             0.56287,             0.35175,             0.02423,           0.0089378,           0.0049366,           0.0010516,           0.0010516,            0.033902
                  43,            0.030536,            0.014587,            0.010965,             0.46631,             0.59332,             0.56316,             0.35691,            0.024141,           0.0089014,           0.0049021,           0.0010739,           0.0010739,            0.033524
                  44,            0.029973,            0.015705,             0.01061,             0.47196,             0.59907,             0.57261,             0.35954,            0.024004,           0.0088633,           0.0048504,           0.0010961,           0.0010961,            0.033146
                  45,            0.030202,            0.015899,            0.011557,             0.48669,             0.58807,             0.57067,             0.36286,            0.023836,           0.0088326,           0.0048138,           0.0011181,           0.0011181,            0.032768
                  46,            0.030816,            0.015443,            0.011493,             0.49388,             0.58927,             0.57965,             0.36596,            0.023726,           0.0088008,           0.0047918,           0.0011399,           0.0011399,             0.03239
                  47,            0.029783,            0.015421,            0.010736,             0.49368,              0.5852,             0.58349,             0.37035,            0.023648,            0.008778,           0.0047556,           0.0011616,           0.0011616,            0.032012
                  48,            0.030255,            0.016867,             0.01149,             0.45812,             0.63197,             0.58821,             0.37451,            0.023469,           0.0087457,           0.0047251,           0.0011831,           0.0011831,            0.031633
                  49,            0.030186,            0.017265,            0.011549,             0.49252,             0.59593,             0.60139,             0.37789,            0.023298,           0.0087191,           0.0047124,           0.0012044,           0.0012044,            0.031254
                  50,            0.028661,            0.015179,            0.010926,              0.5147,             0.59788,             0.60602,             0.37634,            0.023163,           0.0087006,           0.0046777,           0.0012256,           0.0012256,            0.030876
                  51,            0.028442,            0.015839,            0.011074,             0.53577,             0.60526,             0.61512,             0.37812,            0.022968,           0.0086812,           0.0046176,           0.0012466,           0.0012466,            0.030497
                  52,            0.030201,            0.016081,            0.011651,             0.54806,             0.60321,             0.61774,             0.38831,            0.022757,           0.0086563,           0.0045895,           0.0012675,           0.0012675,            0.030117
                  53,            0.028316,            0.015645,            0.010562,             0.55957,             0.60133,               0.621,             0.38997,            0.022695,           0.0086326,           0.0045437,           0.0012881,           0.0012881,            0.029738
