               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.043524,            0.024686,            0.022609,             0.46228,             0.24854,              0.2577,              0.1287,            0.036814,            0.013912,            0.014987,            2.24e-05,            2.24e-05,            0.049672
                   1,            0.043011,            0.023914,            0.020798,             0.43018,             0.28525,             0.28593,             0.15093,            0.035768,            0.013357,            0.013542,          4.7999e-05,          4.7999e-05,            0.049298
                   2,            0.042735,             0.02132,            0.022126,             0.36602,             0.32405,             0.30042,             0.16145,            0.035319,            0.013075,            0.012647,          7.3593e-05,          7.3593e-05,            0.048924
                   3,            0.042856,            0.021312,            0.020638,             0.42626,             0.30121,             0.30788,             0.16818,            0.035032,            0.012862,             0.01219,          9.9178e-05,          9.9178e-05,            0.048549
                   4,            0.042058,            0.021611,            0.019993,             0.36932,             0.32333,             0.30261,             0.17043,            0.034907,            0.012671,            0.011995,          0.00012475,          0.00012475,            0.048175
                   5,             0.04079,             0.01865,             0.02196,             0.40177,             0.31455,             0.31683,             0.17845,            0.034941,            0.012577,            0.012034,          0.00015031,          0.00015031,              0.0478
                   6,            0.042247,            0.024601,            0.020185,             0.47388,             0.30581,             0.31694,             0.18071,            0.034909,            0.012413,            0.012048,          0.00017585,          0.00017585,            0.047426
                   7,            0.042318,            0.023593,            0.021044,             0.41828,              0.3197,             0.31905,             0.18233,            0.034873,            0.012326,            0.012015,          0.00020136,          0.00020136,            0.047051
                   8,              0.0406,            0.021023,            0.020477,              0.4591,             0.31994,             0.32893,              0.1861,              0.0348,             0.01222,            0.011898,          0.00022685,          0.00022685,            0.046677
                   9,            0.041273,            0.020196,            0.020886,             0.40705,             0.33294,             0.33193,             0.18773,            0.034709,             0.01213,            0.011776,          0.00025231,          0.00025231,            0.046302
                  10,            0.039865,            0.019878,            0.020457,             0.35139,             0.36629,             0.33646,             0.18875,            0.034656,            0.012068,            0.011712,          0.00027773,          0.00027773,            0.045928
                  11,            0.042387,            0.021803,            0.021008,             0.44305,             0.33118,             0.34192,             0.19305,            0.034549,            0.011986,            0.011586,          0.00030311,          0.00030311,            0.045553
                  12,             0.03951,            0.019775,            0.019686,             0.44757,             0.32048,             0.34703,             0.19452,            0.034423,            0.011899,            0.011406,          0.00032846,          0.00032846,            0.045178
                  13,            0.040529,            0.020564,            0.020644,             0.39084,             0.36431,             0.35066,             0.19857,            0.034309,             0.01181,             0.01119,          0.00035375,          0.00035375,            0.044804
                  14,            0.040213,             0.02298,            0.017934,             0.39917,             0.36946,             0.35912,             0.20372,            0.034212,            0.011718,            0.011042,            0.000379,            0.000379,            0.044429
                  15,            0.040509,            0.021617,            0.019929,             0.48315,             0.35777,             0.36349,             0.20579,            0.034063,            0.011655,            0.010865,           0.0004042,           0.0004042,            0.044054
                  16,            0.041073,            0.019786,            0.020095,             0.46057,             0.36406,             0.36534,             0.20636,            0.033983,              0.0116,            0.010749,          0.00042934,          0.00042934,            0.043679
                  17,            0.038896,            0.021037,            0.018741,             0.45887,             0.36371,             0.36925,             0.21111,            0.033854,             0.01152,            0.010581,          0.00045442,          0.00045442,            0.043304
                  18,             0.03871,            0.020024,            0.018052,              0.4869,             0.36384,             0.37957,             0.21624,            0.033761,            0.011446,            0.010377,          0.00047943,          0.00047943,            0.042929
                  19,            0.039145,            0.019747,            0.019685,             0.48737,             0.37171,             0.38688,             0.21884,            0.033649,             0.01138,            0.010213,          0.00050438,          0.00050438,            0.042554
                  20,            0.039533,            0.021033,             0.01935,               0.565,             0.35248,              0.3893,             0.22018,            0.033546,             0.01135,            0.010124,          0.00052926,          0.00052926,            0.042179
                  21,            0.038963,            0.019195,            0.019305,             0.58621,             0.34403,              0.3873,             0.21882,            0.033441,            0.011309,           0.0099936,          0.00055407,          0.00055407,            0.041804
                  22,            0.038649,            0.019213,            0.017447,              0.5937,             0.34868,             0.39628,             0.22153,            0.033286,            0.011245,           0.0097933,          0.00057879,          0.00057879,            0.041429
                  23,            0.038931,            0.019069,            0.016702,             0.57485,             0.35272,             0.40142,             0.22281,            0.033186,            0.011193,           0.0096293,          0.00060344,          0.00060344,            0.041053
                  24,            0.038573,             0.02084,            0.017759,             0.59174,             0.34554,             0.39975,             0.22523,            0.033099,            0.011174,           0.0095141,            0.000628,            0.000628,            0.040678
                  25,            0.038499,            0.019074,            0.017914,             0.59687,             0.35383,             0.40571,             0.22639,            0.033054,            0.011137,           0.0094497,          0.00065247,          0.00065247,            0.040302
                  26,            0.038256,            0.017736,            0.018447,             0.52195,             0.38384,             0.41207,             0.22876,            0.032934,            0.011094,           0.0093142,          0.00067685,          0.00067685,            0.039927
                  27,            0.039824,            0.021283,            0.018702,             0.53444,             0.38579,             0.41073,             0.22549,            0.032832,            0.011082,           0.0092602,          0.00070113,          0.00070113,            0.039551
                  28,            0.039288,              0.0202,            0.017812,             0.53452,             0.38523,              0.4186,             0.23096,            0.032748,            0.011043,            0.009149,          0.00072532,          0.00072532,            0.039175
                  29,            0.038565,            0.019038,            0.017301,             0.51952,              0.4039,             0.42346,             0.23433,            0.032629,            0.011002,           0.0089802,           0.0007494,           0.0007494,            0.038799
                  30,            0.038433,            0.019391,            0.016923,             0.50248,             0.41146,             0.42309,             0.23033,            0.032564,             0.01095,           0.0088675,          0.00077338,          0.00077338,            0.038423
                  31,            0.038482,            0.020542,            0.016904,             0.54124,             0.40378,             0.42513,              0.2345,            0.032455,             0.01091,           0.0087213,          0.00079725,          0.00079725,            0.038047
                  32,            0.039016,            0.019567,            0.017951,             0.54758,             0.40516,             0.42815,             0.23222,            0.032413,            0.010879,           0.0086754,            0.000821,            0.000821,            0.037671
                  33,            0.037484,            0.021116,            0.016722,             0.54882,             0.40375,              0.4284,             0.23529,            0.032313,            0.010834,           0.0085492,          0.00084464,          0.00084464,            0.037295
                  34,            0.038317,            0.018841,             0.01741,             0.56178,              0.3951,             0.43062,             0.23498,            0.032251,            0.010804,           0.0085131,          0.00086816,          0.00086816,            0.036918
                  35,            0.039306,            0.020344,            0.018087,             0.55645,             0.40245,             0.43225,             0.23548,            0.032172,            0.010765,           0.0084164,          0.00089156,          0.00089156,            0.036542
                  36,            0.037559,            0.019977,            0.016663,             0.56713,             0.40277,             0.43245,             0.23874,            0.032061,            0.010729,           0.0083051,          0.00091483,          0.00091483,            0.036165
                  37,            0.038481,            0.018184,             0.01675,             0.57765,             0.40004,             0.43639,             0.24014,            0.032013,            0.010693,           0.0082519,          0.00093797,          0.00093797,            0.035788
                  38,            0.036449,            0.018133,            0.015586,             0.58837,             0.39816,             0.44474,             0.24577,            0.031915,            0.010659,           0.0081106,          0.00096098,          0.00096098,            0.035411
                  39,            0.037035,            0.018793,            0.014446,             0.58292,             0.40415,             0.44784,             0.24695,            0.031815,            0.010619,           0.0079569,          0.00098386,          0.00098386,            0.035034
                  40,            0.037505,            0.019315,            0.016733,             0.54519,             0.41565,             0.44936,              0.2462,            0.031754,            0.010588,           0.0079354,           0.0010066,           0.0010066,            0.034657
