               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057767,            0.019733,            0.023163,             0.39082,             0.12155,            0.096869,            0.033121,            0.054321,            0.010194,            0.015783,            2.24e-05,            2.24e-05,            0.049672
                   1,            0.056562,            0.019522,             0.02373,             0.36724,             0.13112,             0.10054,            0.030669,            0.053554,            0.010326,            0.016544,          4.7999e-05,          4.7999e-05,            0.049298
                   2,            0.055055,            0.018772,            0.022459,             0.40644,              0.1286,             0.10816,            0.031887,             0.05282,            0.010486,            0.017441,          7.3593e-05,          7.3593e-05,            0.048924
                   3,            0.053703,            0.018582,            0.022974,             0.44488,             0.13421,             0.11206,             0.03469,            0.052153,            0.010634,            0.018267,          9.9178e-05,          9.9178e-05,            0.048549
                   4,            0.053058,            0.017797,            0.022399,             0.41802,             0.13666,             0.11204,            0.036277,            0.051636,            0.010776,            0.018804,          0.00012475,          0.00012475,            0.048175
                   5,            0.053325,             0.01803,            0.023511,             0.56488,             0.12291,             0.11675,            0.039759,            0.051238,            0.010865,            0.019232,          0.00015031,          0.00015031,              0.0478
                   6,            0.051292,            0.018243,            0.022771,             0.46651,             0.13176,             0.11962,            0.043904,            0.050748,            0.010946,            0.019657,          0.00017585,          0.00017585,            0.047426
                   7,             0.05041,            0.018767,            0.021931,             0.46327,             0.13524,             0.11538,            0.045705,            0.050173,            0.011012,            0.019831,          0.00020136,          0.00020136,            0.047051
                   8,            0.050553,            0.017217,            0.021726,               0.368,             0.14316,             0.11324,             0.04929,            0.049674,            0.011071,            0.019818,          0.00022685,          0.00022685,            0.046677
                   9,            0.050085,             0.02123,            0.021443,             0.34595,             0.14808,             0.10916,            0.048273,            0.049376,            0.011105,            0.019774,          0.00025231,          0.00025231,            0.046302
                  10,            0.048224,            0.018847,            0.020882,             0.27647,             0.17621,              0.1136,            0.048915,            0.048896,            0.011121,            0.019137,          0.00027773,          0.00027773,            0.045928
                  11,            0.049358,             0.01991,            0.022712,             0.29371,             0.16032,             0.11929,            0.051573,            0.048624,            0.011161,            0.019472,          0.00030311,          0.00030311,            0.045553
                  12,            0.046508,            0.017808,             0.02017,             0.32005,             0.14926,             0.12892,             0.05913,            0.048092,            0.011147,             0.01891,          0.00032846,          0.00032846,            0.045178
                  13,            0.047319,             0.01879,            0.022117,             0.33303,             0.16003,             0.12885,            0.059199,            0.047585,            0.011214,            0.018107,          0.00035375,          0.00035375,            0.044804
                  14,            0.046207,            0.019141,            0.020655,             0.31964,             0.16326,             0.12256,            0.053499,            0.047277,            0.011295,            0.019146,            0.000379,            0.000379,            0.044429
                  15,            0.044788,             0.01804,            0.020894,             0.18178,             0.21836,             0.13885,            0.061105,            0.046244,             0.01125,            0.017817,           0.0004042,           0.0004042,            0.044054
                  16,            0.045795,            0.018902,            0.022591,             0.22437,             0.19815,             0.14177,            0.063488,            0.045929,             0.01127,            0.018083,          0.00042934,          0.00042934,            0.043679
                  17,             0.04475,            0.019354,            0.021671,             0.28794,             0.17545,             0.13984,            0.068829,            0.045789,            0.011316,            0.018334,          0.00045442,          0.00045442,            0.043304
                  18,            0.042456,            0.018549,            0.019707,             0.17718,             0.23005,             0.16318,            0.087426,            0.044762,            0.011317,            0.017618,          0.00047943,          0.00047943,            0.042929
                  19,             0.04142,            0.019255,            0.019094,             0.14394,             0.27682,             0.18107,            0.091797,             0.04427,            0.011347,            0.017751,          0.00050438,          0.00050438,            0.042554
                  20,            0.040886,            0.018982,            0.020809,             0.28546,             0.20295,             0.17534,            0.086762,            0.043322,            0.011368,            0.017289,          0.00052926,          0.00052926,            0.042179
                  21,            0.041202,            0.019208,            0.020049,             0.24901,              0.2308,             0.17901,            0.092225,            0.042933,            0.011249,            0.016341,          0.00055407,          0.00055407,            0.041804
                  22,            0.041933,            0.020051,            0.019831,             0.41957,             0.15017,             0.17313,            0.095547,            0.043632,            0.011494,            0.018391,          0.00057879,          0.00057879,            0.041429
                  23,            0.040928,            0.018432,            0.019951,             0.23224,             0.22672,              0.1824,            0.092919,            0.042751,            0.011306,            0.017033,          0.00060344,          0.00060344,            0.041053
