               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.053289,            0.025612,            0.030741,             0.32219,            0.050105,            0.025204,            0.013833,            0.049327,            0.017463,            0.027199,            2.24e-05,            2.24e-05,            0.049672
                   1,            0.052802,            0.028043,            0.029301,             0.36051,            0.047119,            0.029804,            0.016984,            0.049467,            0.017067,            0.026877,          4.7999e-05,          4.7999e-05,            0.049298
                   2,            0.051855,            0.026399,            0.030584,             0.21763,            0.051719,            0.027649,            0.013145,            0.049887,            0.016696,            0.026915,          7.3593e-05,          7.3593e-05,            0.048924
                   3,              0.0522,            0.025961,            0.030057,             0.10268,            0.052055,            0.026702,            0.014482,            0.050263,            0.016458,            0.027276,          9.9178e-05,          9.9178e-05,            0.048549
                   4,            0.051269,            0.023419,            0.029971,            0.098436,            0.064364,            0.028334,            0.014706,            0.050594,            0.016415,            0.027419,          0.00012475,          0.00012475,            0.048175
                   5,            0.051942,            0.021287,             0.03026,             0.22423,            0.052668,            0.033286,               0.018,            0.050785,            0.016096,             0.02732,          0.00015031,          0.00015031,              0.0478
                   6,            0.051866,            0.027087,            0.030015,             0.24738,            0.045745,            0.033192,            0.018512,            0.051156,            0.015908,            0.027336,          0.00017585,          0.00017585,            0.047426
                   7,            0.051345,            0.025138,            0.030096,             0.26104,            0.048672,            0.034362,            0.018851,            0.051055,            0.015478,            0.027039,          0.00020136,          0.00020136,            0.047051
                   8,            0.050704,            0.023745,            0.028742,             0.24318,            0.057081,            0.042595,            0.020734,            0.051159,            0.015541,            0.027002,          0.00022685,          0.00022685,            0.046677
                   9,            0.052386,             0.02383,            0.031053,             0.28418,            0.054189,            0.045387,            0.022489,            0.051076,            0.015399,            0.026827,          0.00025231,          0.00025231,            0.046302
                  10,            0.050344,             0.02251,            0.030129,             0.18198,            0.064463,            0.044593,            0.020608,            0.051144,            0.015277,            0.027031,          0.00027773,          0.00027773,            0.045928
                  11,            0.052309,            0.024174,            0.030488,             0.21695,            0.067018,            0.044293,            0.018594,            0.050747,             0.01509,            0.026574,          0.00030311,          0.00030311,            0.045553
                  12,            0.050497,            0.024605,            0.030161,             0.11151,              0.0768,             0.04649,            0.020367,            0.050465,            0.015007,            0.026541,          0.00032846,          0.00032846,            0.045178
                  13,            0.049465,            0.023868,            0.027843,             0.12348,            0.085472,            0.044955,            0.020731,            0.050132,            0.014877,            0.026412,          0.00035375,          0.00035375,            0.044804
