               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.041996,            0.023485,            0.022861,             0.38502,             0.27465,             0.28281,             0.16144,            0.038678,            0.012286,            0.015026,            2.24e-05,            2.24e-05,            0.049672
                   1,            0.042465,            0.023372,            0.021836,             0.39903,             0.26606,             0.27412,             0.15328,            0.038711,            0.012345,            0.015335,          4.7999e-05,          4.7999e-05,            0.049298
                   2,             0.04146,            0.022266,            0.021946,             0.53379,             0.20874,             0.25499,             0.14227,            0.038937,            0.012431,            0.015827,          7.3593e-05,          7.3593e-05,            0.048924
                   3,            0.042453,            0.022599,            0.022293,             0.47129,             0.20523,             0.24091,             0.13849,            0.039045,            0.012543,            0.016121,          9.9178e-05,          9.9178e-05,            0.048549
                   4,            0.042592,             0.02162,            0.023137,             0.36945,             0.22556,             0.22571,             0.13276,            0.039275,            0.012744,            0.016746,          0.00012475,          0.00012475,            0.048175
                   5,            0.040593,            0.018194,            0.023457,             0.30178,             0.25677,              0.2135,             0.12878,            0.039501,            0.012872,            0.017184,          0.00015031,          0.00015031,              0.0478
                   6,            0.043333,            0.024655,            0.021704,             0.33749,             0.23757,             0.20527,             0.12599,            0.039679,            0.013029,            0.017431,          0.00017585,          0.00017585,            0.047426
                   7,            0.042329,            0.022689,            0.021903,             0.36262,             0.22102,             0.20544,             0.12214,            0.039542,            0.013014,            0.017208,          0.00020136,          0.00020136,            0.047051
                   8,             0.04018,            0.019029,             0.02092,             0.51071,             0.17429,             0.19606,               0.117,            0.039596,            0.012981,             0.01723,          0.00022685,          0.00022685,            0.046677
                   9,            0.041287,            0.020782,             0.02252,             0.42241,             0.18574,             0.19469,               0.114,            0.039677,            0.013094,            0.017525,          0.00025231,          0.00025231,            0.046302
                  10,            0.041073,            0.020778,            0.020598,             0.32724,             0.21091,             0.19055,             0.11423,            0.039741,            0.013107,            0.017733,          0.00027773,          0.00027773,            0.045928
                  11,            0.042138,            0.021679,            0.022328,             0.35799,             0.20768,             0.18688,             0.10941,            0.040318,              0.0132,            0.018615,          0.00030311,          0.00030311,            0.045553
                  12,            0.041296,            0.023355,            0.021366,             0.57683,             0.16728,             0.19753,             0.11692,            0.039399,            0.013092,            0.017398,          0.00032846,          0.00032846,            0.045178
                  13,            0.040079,            0.021199,            0.020157,             0.42316,             0.18214,             0.19763,             0.11754,            0.039552,            0.013177,            0.017488,          0.00035375,          0.00035375,            0.044804
                  14,            0.039129,            0.021092,            0.020014,             0.28334,              0.2035,             0.18373,             0.10745,             0.04009,            0.013286,            0.018158,            0.000379,            0.000379,            0.044429
                  15,            0.041173,            0.022115,            0.021437,             0.47376,             0.19211,             0.20716,             0.11578,            0.039513,            0.012894,            0.017682,           0.0004042,           0.0004042,            0.044054
                  16,            0.040493,            0.022161,            0.020927,             0.51509,             0.19287,             0.20353,             0.12313,            0.039909,            0.013163,             0.01769,          0.00042934,          0.00042934,            0.043679
                  17,             0.04029,            0.021711,            0.020087,             0.47469,             0.18041,             0.19539,             0.11439,            0.039659,            0.013135,            0.017533,          0.00045442,          0.00045442,            0.043304
                  18,            0.040514,            0.021802,            0.019459,             0.45121,             0.19371,             0.19914,              0.1185,            0.039495,            0.013032,            0.017367,          0.00047943,          0.00047943,            0.042929
                  19,            0.039968,            0.020077,            0.019816,             0.44979,             0.19835,             0.20686,             0.12411,            0.039201,            0.012944,            0.016835,          0.00050438,          0.00050438,            0.042554
                  20,            0.039761,             0.02016,            0.019344,             0.34465,             0.23434,             0.21802,             0.13189,            0.038889,            0.012752,            0.016279,          0.00052926,          0.00052926,            0.042179
                  21,            0.037835,              0.0199,            0.018862,             0.43057,             0.20745,             0.22364,             0.13629,            0.039043,            0.012728,            0.016164,          0.00055407,          0.00055407,            0.041804
                  22,            0.039643,            0.023198,            0.018102,             0.45953,             0.16978,             0.18621,             0.10979,            0.039723,            0.013213,            0.017985,          0.00057879,          0.00057879,            0.041429
                  23,            0.039467,            0.020114,            0.018851,             0.38202,             0.21047,             0.20338,             0.11859,            0.039185,            0.013069,            0.017331,          0.00060344,          0.00060344,            0.041053
                  24,            0.039129,            0.019897,            0.019612,             0.46339,             0.18065,             0.21487,             0.12571,            0.039031,            0.012882,            0.016543,            0.000628,            0.000628,            0.040678
                  25,            0.038375,            0.020647,            0.018718,             0.53231,             0.20863,             0.23652,             0.14099,             0.03857,            0.012668,            0.016092,          0.00065247,          0.00065247,            0.040302
