               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060574,            0.035365,             0.03364,           0.0022673,           0.0088283,          0.00046942,          0.00027973,             0.05756,            0.020085,            0.028914,            2.24e-05,            2.24e-05,            0.049672
                   1,            0.061424,            0.033894,            0.032973,           0.0017268,           0.0053072,          0.00030379,          0.00016861,            0.057409,            0.019401,            0.028966,          4.7999e-05,          4.7999e-05,            0.049298
                   2,            0.060582,            0.032278,            0.033969,            0.001142,          0.00066804,          0.00010974,          2.6641e-05,            0.057036,            0.019085,             0.02916,          7.3593e-05,          7.3593e-05,            0.048924
                   3,            0.060697,            0.033185,            0.032785,          0.00070423,          0.00066804,          6.0303e-05,          1.4705e-05,            0.057334,            0.018978,            0.029205,          9.9178e-05,          9.9178e-05,            0.048549
                   4,             0.05974,            0.030328,             0.03428,          0.00019151,          0.00061237,          1.1092e-05,          1.8643e-06,            0.057494,            0.019908,            0.029178,          0.00012475,          0.00012475,            0.048175
                   5,             0.05951,            0.026766,            0.032993,              0.0846,          0.00050103,          5.4053e-06,          1.3596e-06,            0.058017,            0.019967,            0.029254,          0.00015031,          0.00015031,              0.0478
                   6,            0.060015,            0.037253,             0.03342,             0.40856,          0.00011134,          8.9772e-06,          2.5562e-06,            0.058131,            0.019205,            0.030353,          0.00017585,          0.00017585,            0.047426
                   7,            0.059783,            0.033411,            0.034168,              0.5916,           5.567e-05,          6.4332e-07,          1.7024e-07,            0.057976,            0.019338,            0.031006,          0.00020136,          0.00020136,            0.047051
                   8,            0.059866,            0.029362,            0.033168,             0.61974,          0.00011134,           4.114e-07,          1.1787e-07,            0.059482,            0.019575,            0.030487,          0.00022685,          0.00022685,            0.046677
                   9,            0.059235,            0.029498,            0.034024,             0.39439,          0.00011134,          2.4121e-07,          4.4256e-08,            0.059409,            0.019626,            0.031336,          0.00025231,          0.00025231,            0.046302
                  10,            0.058912,            0.028256,             0.03453,             0.25353,          0.00011134,          1.5526e-07,          1.7786e-08,             0.05906,            0.017914,            0.033588,          0.00027773,          0.00027773,            0.045928
                  11,            0.059652,             0.02638,            0.034094,            0.070436,           0.0047505,          4.0428e-06,          2.0091e-06,            0.060925,            0.018934,            0.035766,          0.00030311,          0.00030311,            0.045553
                  12,            0.059163,            0.030475,            0.033433,             0.76449,           0.0036325,          0.00018167,          8.0102e-05,            0.061139,            0.017909,            0.032819,          0.00032846,          0.00032846,            0.045178
                  13,            0.059111,            0.028543,            0.032892,             0.46532,           0.0038551,          0.00020134,          6.9212e-05,            0.060868,            0.019299,            0.032268,          0.00035375,          0.00035375,            0.044804
                  14,            0.059418,            0.030591,            0.033716,             0.61979,          0.00022268,          2.5931e-06,          4.1395e-07,            0.060291,            0.019219,            0.034919,            0.000379,            0.000379,            0.044429
                  15,            0.059175,            0.029722,            0.033624,            0.084543,           0.0012504,          2.5582e-06,          4.8683e-07,            0.059637,            0.022051,            0.034519,           0.0004042,           0.0004042,            0.044054
                  16,            0.058797,              0.0275,            0.033954,             0.18402,           0.0099674,          0.00047991,          0.00014886,            0.059804,            0.019145,            0.033852,          0.00042934,          0.00042934,            0.043679
                  17,            0.058707,            0.029113,            0.034096,                   0,                   0,                   0,                   0,            0.059918,            0.022077,            0.030866,          0.00045442,          0.00045442,            0.043304
                  18,            0.058303,            0.028643,            0.032149,             0.11269,          0.00011134,          1.2087e-07,          4.6154e-08,            0.060994,            0.019646,            0.042022,          0.00047943,          0.00047943,            0.042929
                  19,            0.057504,            0.028254,            0.032885,             0.48172,            0.011565,          0.00099326,          0.00056832,            0.060688,            0.017317,            0.030917,          0.00050438,          0.00050438,            0.042554
                  20,            0.057658,            0.026054,            0.033151,           0.0015083,            0.035094,           0.0011739,          0.00060819,            0.059578,            0.018597,            0.031772,          0.00052926,          0.00052926,            0.042179
