               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.034058,            0.020759,            0.014755,             0.60408,             0.40349,             0.44492,             0.28758,            0.028911,            0.011165,           0.0097725,            2.24e-05,            2.24e-05,            0.049672
                   1,            0.036116,            0.022232,            0.015835,             0.50378,             0.45808,             0.45979,              0.2964,            0.028847,            0.011116,           0.0094526,          4.7999e-05,          4.7999e-05,            0.049298
                   2,            0.034858,            0.020079,            0.014846,             0.50315,             0.45254,             0.46769,             0.30123,            0.028838,            0.011092,             0.00928,          7.3593e-05,          7.3593e-05,            0.048924
                   3,            0.034562,            0.021187,            0.014899,             0.49848,             0.46156,             0.46161,             0.29786,            0.028781,            0.011075,           0.0091067,          9.9178e-05,          9.9178e-05,            0.048549
                   4,            0.033971,            0.018546,            0.015152,             0.49193,             0.46232,              0.4674,             0.29975,            0.028759,            0.011063,           0.0090051,          0.00012475,          0.00012475,            0.048175
                   5,            0.034448,            0.019603,            0.015661,             0.49814,             0.46799,             0.46547,             0.29862,            0.028756,            0.011036,            0.008896,          0.00015031,          0.00015031,              0.0478
                   6,            0.034253,            0.019355,            0.014572,             0.46735,             0.48064,             0.47031,             0.30759,            0.028722,            0.011018,           0.0088072,          0.00017585,          0.00017585,            0.047426
                   7,            0.034717,            0.019385,            0.015189,             0.54007,             0.43588,              0.4659,             0.30522,             0.02873,            0.011008,           0.0087574,          0.00020136,          0.00020136,            0.047051
                   8,            0.033508,            0.018183,            0.014893,             0.53677,              0.4427,             0.47446,             0.31117,            0.028681,            0.011009,           0.0086985,          0.00022685,          0.00022685,            0.046677
                   9,            0.034143,            0.020059,            0.014365,             0.54609,             0.43804,              0.4678,             0.30845,            0.028563,            0.010969,           0.0085432,          0.00025231,          0.00025231,            0.046302
                  10,            0.033503,            0.020137,            0.013988,             0.53504,              0.4534,             0.47891,             0.30957,            0.028521,            0.010933,           0.0084781,          0.00027773,          0.00027773,            0.045928
                  11,            0.035282,            0.020507,            0.015301,             0.49314,             0.47209,             0.47678,             0.31456,            0.028532,            0.010889,           0.0084157,          0.00030311,          0.00030311,            0.045553
                  12,            0.031882,            0.017751,            0.012339,             0.52723,             0.46725,             0.48845,             0.32292,            0.028394,            0.010835,           0.0082857,          0.00032846,          0.00032846,            0.045178
                  13,            0.034449,            0.018657,            0.014473,             0.52583,             0.46154,             0.48786,             0.32386,            0.028349,            0.010802,           0.0081859,          0.00035375,          0.00035375,            0.044804
                  14,            0.034663,             0.01912,            0.015582,             0.65399,             0.40423,             0.48991,             0.32839,              0.0283,             0.01076,           0.0081129,            0.000379,            0.000379,            0.044429
                  15,            0.032505,            0.016842,            0.013018,             0.66954,             0.40797,             0.49845,             0.33032,            0.028258,            0.010737,            0.008037,           0.0004042,           0.0004042,            0.044054
                  16,            0.034394,            0.020017,            0.015781,             0.50311,              0.4953,             0.50177,             0.33636,            0.028196,            0.010695,           0.0079509,          0.00042934,          0.00042934,            0.043679
                  17,            0.034299,            0.020332,            0.014536,             0.49861,              0.4959,             0.50789,              0.3337,            0.028091,            0.010659,           0.0078398,          0.00045442,          0.00045442,            0.043304
                  18,            0.033593,            0.020093,            0.014213,             0.51561,             0.48928,             0.51022,             0.33506,            0.028016,            0.010615,           0.0077444,          0.00047943,          0.00047943,            0.042929
                  19,            0.032752,            0.019999,            0.013077,             0.51653,             0.48728,             0.51323,              0.3342,            0.027913,            0.010586,           0.0076343,          0.00050438,          0.00050438,            0.042554
                  20,            0.033815,            0.018381,            0.014628,             0.55391,             0.47964,             0.51848,             0.33831,            0.027859,            0.010548,           0.0074937,          0.00052926,          0.00052926,            0.042179
                  21,            0.033305,            0.019477,            0.013847,             0.54683,             0.48416,             0.51356,             0.33477,            0.027833,            0.010524,           0.0074519,          0.00055407,          0.00055407,            0.041804
                  22,            0.032471,            0.018972,            0.014442,             0.59706,             0.47305,             0.52222,             0.34208,            0.027718,            0.010481,           0.0073912,          0.00057879,          0.00057879,            0.041429
                  23,            0.031974,            0.017652,            0.012082,             0.59363,             0.46927,             0.52286,             0.34312,            0.027669,            0.010458,           0.0073408,          0.00060344,          0.00060344,            0.041053
                  24,            0.034308,            0.019586,            0.014295,             0.54319,             0.48769,             0.51692,             0.33801,            0.027684,            0.010453,           0.0073308,            0.000628,            0.000628,            0.040678
                  25,            0.033442,             0.01922,             0.01509,             0.54301,             0.48805,             0.52079,             0.34393,            0.027593,              0.0104,           0.0071949,          0.00065247,          0.00065247,            0.040302
                  26,            0.032696,            0.018122,            0.013474,             0.54672,             0.49623,             0.52675,              0.3473,            0.027495,            0.010363,           0.0071082,          0.00067685,          0.00067685,            0.039927
                  27,            0.033214,            0.017627,            0.013776,              0.6431,             0.44793,              0.5267,             0.34618,            0.027437,            0.010346,           0.0070078,          0.00070113,          0.00070113,            0.039551
                  28,             0.03317,            0.016956,            0.014068,             0.52996,             0.50884,              0.5324,             0.35085,            0.027432,            0.010322,            0.006908,          0.00072532,          0.00072532,            0.039175
                  29,            0.032301,            0.018157,            0.013075,             0.57933,             0.48341,             0.53561,             0.34979,            0.027405,            0.010284,           0.0068509,           0.0007494,           0.0007494,            0.038799
                  30,            0.031207,            0.016855,            0.013454,             0.58443,             0.47835,             0.53702,             0.34775,            0.027358,            0.010266,            0.006828,          0.00077338,          0.00077338,            0.038423
                  31,            0.031929,            0.016735,            0.012765,             0.50884,             0.51204,             0.53293,             0.34962,             0.02736,            0.010265,           0.0068515,          0.00079725,          0.00079725,            0.038047
                  32,            0.031169,            0.018559,            0.013131,              0.5816,             0.47991,             0.53334,             0.35012,            0.027291,            0.010236,           0.0067559,            0.000821,            0.000821,            0.037671
                  33,            0.032956,            0.018371,            0.013561,             0.55029,             0.51598,             0.54193,             0.35629,            0.027151,              0.0102,           0.0066145,          0.00084464,          0.00084464,            0.037295
                  34,            0.032746,            0.017564,            0.012812,             0.56883,              0.5122,             0.54387,             0.35378,            0.027135,            0.010183,           0.0065709,          0.00086816,          0.00086816,            0.036918
                  35,            0.032696,            0.018054,            0.014028,             0.56173,             0.51964,             0.54495,             0.35537,            0.027088,            0.010148,           0.0064663,          0.00089156,          0.00089156,            0.036542
                  36,            0.032382,             0.01718,            0.012873,             0.55803,             0.52367,             0.54151,             0.35112,             0.02705,            0.010137,           0.0064331,          0.00091483,          0.00091483,            0.036165
                  37,            0.031168,            0.017626,            0.012363,             0.61876,             0.48937,             0.54305,             0.35385,             0.02702,            0.010119,           0.0064128,          0.00093797,          0.00093797,            0.035788
                  38,            0.032797,             0.01773,             0.01388,             0.58954,             0.50822,             0.54802,             0.35412,            0.027096,            0.010086,           0.0063997,          0.00096098,          0.00096098,            0.035411
                  39,            0.032527,            0.018909,            0.012138,             0.59056,             0.50255,             0.55207,             0.36001,            0.026968,            0.010056,           0.0063248,          0.00098386,          0.00098386,            0.035034
                  40,            0.032279,            0.020421,            0.011691,             0.60848,             0.49331,             0.53991,             0.35813,            0.026948,            0.010018,           0.0062409,           0.0010066,           0.0010066,            0.034657
                  41,            0.033282,            0.018631,            0.012464,             0.60267,             0.50066,             0.55074,             0.36117,            0.026815,            0.010001,           0.0061383,           0.0010292,           0.0010292,            0.034279
                  42,            0.031608,            0.018283,            0.011879,             0.58439,             0.51594,             0.55547,              0.3625,            0.026727,           0.0099698,           0.0060849,           0.0010516,           0.0010516,            0.033902
                  43,            0.032376,            0.017391,            0.013164,             0.63464,             0.49934,              0.5603,             0.36547,            0.026629,             0.00996,           0.0060435,           0.0010739,           0.0010739,            0.033524
                  44,            0.032443,             0.01769,            0.012683,             0.57213,             0.53868,             0.56731,             0.36886,            0.026522,           0.0099235,           0.0059647,           0.0010961,           0.0010961,            0.033146
                  45,            0.032564,            0.016835,            0.013221,             0.66886,              0.4942,             0.56783,             0.37101,            0.026476,           0.0099129,           0.0059813,           0.0011181,           0.0011181,            0.032768
                  46,            0.032542,            0.017494,            0.012942,             0.56202,             0.53649,             0.56292,             0.37062,            0.026495,           0.0098813,            0.005945,           0.0011399,           0.0011399,             0.03239
