               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.038177,            0.021872,            0.017823,             0.52708,             0.42603,             0.45636,             0.29089,            0.030411,            0.011861,           0.0092501,            2.24e-05,            2.24e-05,            0.049672
                   1,            0.036351,            0.021229,            0.016188,             0.60588,             0.39225,             0.45616,             0.29185,            0.030523,             0.01187,           0.0092615,          4.7999e-05,          4.7999e-05,            0.049298
                   2,             0.03765,            0.020108,            0.017164,             0.52869,              0.4285,             0.45273,             0.28512,             0.03058,             0.01189,           0.0092921,          7.3593e-05,          7.3593e-05,            0.048924
                   3,            0.036548,            0.021025,            0.015505,             0.54464,             0.41852,             0.44776,              0.2836,            0.030617,            0.011915,           0.0093022,          9.9178e-05,          9.9178e-05,            0.048549
                   4,            0.035869,            0.019489,            0.016135,             0.58015,             0.41288,             0.45366,             0.28424,            0.030655,            0.011914,           0.0093009,          0.00012475,          0.00012475,            0.048175
                   5,            0.036435,            0.020392,            0.016444,             0.55631,             0.43288,             0.45067,             0.28421,            0.030708,            0.011912,           0.0093265,          0.00015031,          0.00015031,              0.0478
                   6,            0.036949,            0.019632,            0.016212,             0.57921,             0.40874,             0.44894,             0.27925,             0.03075,            0.011902,            0.009323,          0.00017585,          0.00017585,            0.047426
                   7,            0.037993,            0.020772,            0.016635,              0.5454,             0.42827,             0.44717,             0.27874,            0.030788,            0.011886,           0.0093561,          0.00020136,          0.00020136,            0.047051
                   8,            0.036123,            0.019708,            0.015783,             0.62504,             0.39613,              0.4464,             0.27685,            0.030773,            0.011865,           0.0093502,          0.00022685,          0.00022685,            0.046677
                   9,            0.037931,            0.021734,             0.01614,             0.62979,             0.39938,             0.44692,             0.27627,            0.030739,            0.011851,           0.0093369,          0.00025231,          0.00025231,            0.046302
                  10,            0.037258,            0.021149,            0.015298,             0.62199,             0.39931,             0.44688,             0.27948,            0.030713,            0.011803,           0.0093043,          0.00027773,          0.00027773,            0.045928
                  11,             0.03745,            0.020467,            0.016525,             0.61706,             0.41142,             0.45018,             0.27866,            0.030768,            0.011806,           0.0093524,          0.00030311,          0.00030311,            0.045553
                  12,            0.035044,            0.019094,            0.014588,             0.63449,             0.39235,             0.44737,             0.28224,            0.030726,            0.011805,           0.0093383,          0.00032846,          0.00032846,            0.045178
                  13,            0.037043,            0.019363,            0.016084,              0.6257,             0.40307,             0.44984,             0.28422,            0.030722,             0.01173,           0.0092608,          0.00035375,          0.00035375,            0.044804
                  14,            0.036691,            0.021806,            0.015539,             0.63114,             0.39553,             0.44929,             0.28305,            0.030788,            0.011706,           0.0093374,            0.000379,            0.000379,            0.044429
                  15,            0.035631,            0.018292,            0.014214,             0.62911,             0.39959,             0.45187,             0.28504,            0.030679,            0.011668,           0.0092401,           0.0004042,           0.0004042,            0.044054
                  16,            0.037939,            0.021136,             0.01745,             0.63182,             0.40581,             0.45827,             0.28914,            0.030681,            0.011704,           0.0092209,          0.00042934,          0.00042934,            0.043679
                  17,            0.037697,            0.019621,            0.016439,             0.64674,             0.40874,             0.46267,             0.29168,            0.030385,            0.011676,           0.0091781,          0.00045442,          0.00045442,            0.043304
                  18,            0.035813,            0.020533,            0.015488,             0.60672,             0.42313,             0.46414,             0.29171,            0.030201,              0.0116,           0.0091014,          0.00047943,          0.00047943,            0.042929
                  19,            0.034366,            0.019216,             0.01472,             0.60741,             0.41911,             0.46013,             0.29174,            0.030198,            0.011572,           0.0090902,          0.00050438,          0.00050438,            0.042554
                  20,              0.0365,            0.019796,            0.015232,             0.60446,             0.42648,             0.47006,             0.29635,            0.030141,            0.011456,           0.0088747,          0.00052926,          0.00052926,            0.042179
                  21,            0.036946,            0.021895,            0.015908,              0.6267,             0.41657,             0.46307,             0.29095,            0.030293,            0.011374,           0.0087503,          0.00055407,          0.00055407,            0.041804
                  22,            0.036903,            0.022061,             0.01554,             0.53545,             0.44907,             0.46574,             0.29358,            0.030213,            0.011334,           0.0087213,          0.00057879,          0.00057879,            0.041429
                  23,            0.035605,            0.020171,            0.015072,             0.56475,             0.43822,             0.46548,             0.29504,            0.030142,            0.011366,           0.0088834,          0.00060344,          0.00060344,            0.041053
                  24,            0.036756,            0.019961,             0.01567,             0.53674,             0.45262,             0.46843,             0.29584,             0.03011,            0.011342,           0.0087529,            0.000628,            0.000628,            0.040678
                  25,            0.036163,            0.019277,            0.015211,              0.5827,             0.44102,             0.47129,             0.29688,            0.030098,            0.011267,           0.0085826,          0.00065247,          0.00065247,            0.040302
                  26,            0.036938,            0.020312,            0.015627,             0.58452,             0.45226,             0.47702,             0.29999,            0.029961,            0.011227,            0.008541,          0.00067685,          0.00067685,            0.039927
                  27,            0.035939,            0.019284,            0.015746,             0.59373,             0.45279,             0.47406,             0.29587,            0.030016,            0.011208,           0.0085253,          0.00070113,          0.00070113,            0.039551
                  28,            0.035652,            0.018007,            0.015133,             0.58374,             0.43855,             0.46985,             0.29796,            0.030074,            0.011188,           0.0085477,          0.00072532,          0.00072532,            0.039175
                  29,            0.036291,            0.018578,            0.014958,             0.58268,             0.44335,             0.46636,             0.29572,            0.030136,            0.011146,            0.008542,           0.0007494,           0.0007494,            0.038799
                  30,            0.035766,            0.020545,            0.014683,             0.57658,             0.45518,             0.47577,             0.29909,             0.03003,            0.011129,           0.0084923,          0.00077338,          0.00077338,            0.038423
